OBJECTID,NameplateC,OperatingM,OperatingY,Shape__Area,Shape__Length
428,2,12,2020,456386.096389771,2688.1329523274
429,0,5,2015,113976.463195801,1338.08947618743
430,2,10,2018,342143.804382324,2829.6380539392
431,3.1,9,2018,525488.39680481,3486.80151674526
432,0,9,2019,1025007.6526947,7677.61338532091
433,0,9,2019,673597.91847229,5195.99787680475
434,0,9,2019,186472.657463074,1790.53089717794
435,0,9,2019,186977.953666687,2105.0014724981
436,0,9,2019,469959.473068237,3791.87733134584
437,0,9,2019,516115.545043945,3244.44991783187
438,1.9,4,2014,402104.691711426,3533.26560677493
439,3.3,10,2019,1060100.0214386,5194.66804502784
440,2.5,10,2019,433474.06817627,3749.53481591048
441,0,12,2019,949457.298294067,3932.87290983947
442,0,12,2020,718846.429008484,4096.26166676905
443,2,5,2014,433656.390350342,3720.61100950647
444,0,5,2015,186084.135070801,1791.15989214051
445,5,6,2020,829799.948722839,5323.43310320385
446,0,6,2022,1264401.11728668,7616.80797092695
447,2.6,12,2013,588680.411315918,2972.7048049143
448,1.5,10,2018,151906.763320923,1628.72651290103
449,1.5,10,2018,66936.2951278687,1155.90717416865
450,3,4,2021,523092.802001953,2881.60683638946
451,2,6,2021,607920.101341248,3690.89049424255
452,1,11,2017,211151.203315735,1895.76766788494
453,2.9,4,2018,112088.640892029,1375.52866134878
454,0,9,2017,79854.1453704834,1783.83623766045
455,0,9,2017,289463.666610718,2116.37344833949
456,0,9,2017,121679.75479126,2630.89265159895
457,0,5,2015,191350.291748047,1808.27572009572
458,1.7,8,2020,367938.487136841,2602.63964759024
459,0,6,2022,214645.479316711,2453.57880799002
460,0,6,2022,724244.427558899,5101.29225118525
461,4,5,2014,96381.0721969604,1248.20959071748
462,0,5,2014,680087.53338623,3693.63531709463
463,0,4,2016,95017.9905014038,1234.73852579438
464,0,11,2016,483295.867851257,3272.07420127507
465,0,11,2016,439086.180709839,2624.74242791439
466,0,11,2016,213248.2837677,2150.23372966767
467,0,4,2016,223043.919189453,1966.03427036893
468,0,11,2016,215578.545845032,2633.46358486587
469,0,11,2016,105027.568893433,1387.50884846259
470,0,11,2016,410339.739997864,2898.62888163521
471,0,11,2016,441545.13193512,2725.30323481433
472,11.9,11,2016,152329.132545471,1586.50950721712
473,11.9,11,2016,65522.6993713379,1056.9745154289
474,11.9,11,2016,48604.8672637939,993.33339923792
475,0,11,2016,396182.674530029,3228.72240808286
476,0,11,2016,200213.538711548,2222.50818701793
477,0,11,2016,46247.4119110107,1172.26249949703
478,0,11,2016,214993.839675903,1864.87216092907
479,0,11,2016,211780.078689575,3013.5955478686
480,2.8,7,2014,606187.597137451,4560.43462731768
481,0,12,2017,248512.530326843,2179.1409898132
482,0,3,2022,193659.592597961,1781.17703984124
483,4,2,2020,1109786.4642334,5141.88604948116
484,1,5,2018,302216.844207764,2575.37774658859
485,2.9,2,2023,849623.934051514,6577.39502878392
486,0,12,2017,243507.902084351,2056.69752021003
487,0,12,2017,143231.98828125,1727.72265676729
488,5,1,2022,722883.703605652,4445.56936319708
489,1.5,12,2016,79030.229385376,1128.15963038949
490,1.8,7,2018,166865.578735352,1653.20897819238
491,1.8,7,2018,172215.211532593,1698.58846388923
492,4,3,2020,724082.025489807,3653.50853152993
493,3,4,2014,148131.671104431,1555.053239483
494,3,4,2014,162460.619277954,1672.18256032442
495,3,4,2014,330821.811454773,2724.12193155629
496,3.8,4,2021,467727.553459167,3044.74896653588
497,3.8,4,2021,69677.8594818115,1078.40599359554
498,0,4,2021,270383.007637024,2352.58645891759
499,3.8,4,2021,130214.394882202,1398.5412718211
500,3.8,4,2021,248850.472015381,2012.91965594252
501,0,5,2015,133435.095924377,1545.99425089928
502,0,8,2019,237318.610481262,2310.04481790575
503,2.5,6,2014,420933.134765625,2816.51111220673
504,0,5,2015,103200.058258057,1278.85043322473
505,0,11,2016,128392.548431396,1505.53383741287
506,0,3,2021,299655.559616089,2132.0320902732
507,0,12,2020,828369.055404663,5221.89433786633
508,0,12,2021,285628.747848511,2701.281270982
509,1,7,2014,189656.134246826,2339.71001841235
510,2,5,2015,449758.02053833,4060.16976078187
511,3,11,2013,856031.304771423,3594.59598385622
512,0,6,2022,225403.328811646,1935.79836266688
513,2,2,2013,559018.202178955,3585.55523169012
514,6.5,5,2017,1105731.04496002,4772.83100143347
515,2,12,2012,401368.882339478,3093.2164094436
516,0,6,2021,1132100.55495453,5088.60286690209
517,3.4,7,2023,143644.020339966,1811.95462660822
518,3.4,7,2023,368101.020690918,3499.55875729398
519,0,8,2019,189333.561332703,2132.84440453315
520,0,11,2016,89742.6376266479,1296.12383555457
521,1,5,2017,174016.927444458,2781.65668272166
522,0,7,2014,152747.719100952,2579.43550180895
523,4.5,7,2014,661590.029495239,9044.41166718622
524,0,6,2022,651415.088607788,3526.27431369601
525,0,6,2022,914092.156219482,4137.14075459934
526,0,6,2022,747324.7212677,4481.15009986772
527,0,5,2015,67065.6560821533,1155.64881435705
528,4.9,12,2013,493189.900894165,3643.27130948965
529,4.9,12,2013,1028371.03314209,4437.07580081211
530,0,7,2021,830253.061958313,3933.347443134
531,2.5,10,2012,535889.509170532,3771.80604099711
532,3,6,2018,423988.541786194,3833.39819517994
533,1,2,2017,132132.520820618,1567.53921291448
534,2,8,2017,278086.592735291,2626.99084678426
535,0,5,2015,123200.046775818,1648.0281371942
536,0,5,2015,201171.11113739,1986.92869745524
537,1.3,3,2015,51525.6732635498,1144.13287473421
538,1.3,3,2015,348310.853675842,2439.1612398859
539,0,6,2022,452776.108062744,3292.55489637768
540,1.3,3,2015,67858.5988006592,1194.91429000657
541,1.8,4,2014,318899.810272217,3071.83961776972
542,0,4,2016,118287.919464111,1364.84324359027
543,1.9,8,2013,473995.129302979,3199.77353929035
544,0,5,2024,449869.333808899,2781.79340057696
545,1,12,2020,128922.285369873,1808.04365070371
546,1.9,11,2016,345753.817817688,2676.39033027678
547,0,10,2013,197518.503372192,2238.15625556584
548,3,10,2013,38004.8256149292,821.682750754093
549,3,10,2013,302954.760162354,2471.91543130784
550,0,7,2014,153349.904960632,1593.32120193634
551,0,7,2014,57266.9626693726,1226.37233491685
552,0,7,2014,148583.501777649,2005.82075966862
553,0,7,2014,161000.727676392,1786.30064785032
554,3,4,2021,268235.944160461,2303.49885823702
555,3,4,2021,253320.577056885,2260.59997677156
556,3,4,2021,76635.3375854492,2020.79153715691
557,3,4,2021,20772.0562362671,679.4644396093
558,3,4,2021,46435.7303390503,1030.64350675002
559,3,4,2021,150246.743972778,1676.67594115579
560,4,10,2020,163749.299263,2446.20032647036
561,4,10,2020,105040.728164673,1629.14208022157
562,4,10,2020,213442.66570282,1962.88136484049
563,4,10,2020,329022.65247345,3360.65519840608
564,0,10,2020,166398.593399048,2556.71521488344
565,0,4,2016,194646.265380859,2291.57078023959
566,0,4,2017,71812.1982727051,1213.06342265402
567,0,4,2017,81904.1609191895,1325.42310171117
568,2.5,1,2013,470541.986801147,4081.67094628943
569,3,6,2014,104348.404388428,2213.91297970921
570,3,6,2014,366125.151580811,2858.77304074674
571,3,6,2014,283369.388397217,2606.86683917548
572,3,6,2014,155249.456573486,1784.69536359177
573,2,8,2016,79695.3739776611,1246.91964111981
574,2,8,2016,117397.537414551,1717.36872718993
575,2,8,2016,210158.925186157,1933.06260163974
576,2,4,2017,115691.97555542,1597.53295362096
577,0,4,2017,32164.0320892334,887.636928679584
578,3.8,10,2013,132456.334716797,2604.06756369703
579,0,8,2013,124156.651382446,1494.73871136214
580,0,3,2022,869071.469491959,4477.66165964497
581,2,12,2017,74329.8300704956,1080.18709490853
582,2,12,2017,160438.738685608,1928.72474989101
583,1,12,2017,150901.307533264,1691.15154144673
584,1,12,2017,210086.539024353,2478.28709351583
585,2,12,2017,137361.217689514,1579.60183554156
586,1.3,3,2020,324380.576080322,2403.9677163837
